"id","name","type","release_date","release_precision","release_year","release_month","release_day","main_story_polled","main_story","main_plus_sides_polled","main_plus_sides","completionist_polled","completionist","all_styles_polled","all_styles","single_player_polled","single_player","co_op_polled","co_op","versus_polled","versus"
"9632","Team Fortress 2","multiplayer focused","2007-10-10","day","2007.0","10.0","10.0","","","","","","","","","","","","","","550.0"
"9634","Team Fortress Classic","multiplayer focused","1999-04-07","day","1999.0","4.0","7.0","","","","","","","","","","","","","","72.5"
"9697","TERA","multiplayer focused","2012-05-01","day","2012.0","5.0","1.0","11.0","37.48","14.0","348.18","5.0","165.08","30.0","203.75","11.0","37.48","13.0","446.0","5.0","581.0"
"9770","The Banner Saga: Factions","multiplayer focused","2013-02-25","day","2013.0","2.0","25.0","","","","","","","","","","","","","","3.0"
"10054","The Lord of the Rings Online: Mines of Moria","multiplayer focused","2008-11-18","day","2008.0","11.0","18.0","","","","","","","","","","","","73.0","",""
"10057","The Lord of the Rings Online","multiplayer focused","2007-04-24","day","2007.0","4.0","24.0","","","","","","","","","","","","352.0","",""
"10163","The Secret World","multiplayer focused","2012-07-03","day","2012.0","7.0","3.0","4.0","35.5","9.0","218.57","3.0","692.07","16.0","261.58","4.0","35.5","","","",""
"10260","Infestation: Survivor Stories","multiplayer focused","","","","","","","","","","","","","","","","","","","79.0"
"10510","Toontown Online","multiplayer focused","2005-10-06","day","2005.0","10.0","6.0","","","","","","","","","","","","30.0","",""
"10645","Tribes: Ascend","multiplayer focused","2012-04-12","day","2012.0","4.0","12.0","","","","","","","","","","","","","","252.0"
"10761","Ultima Online","multiplayer focused","1997-09-24","day","1997.0","9.0","24.0","","","","","","","","","","","","634.0","",""
"10943","Vindictus","multiplayer focused","2010-10-13","day","2010.0","10.0","13.0","","","","","","","","","","","","1302.0","",""
"11037","Warframe","multiplayer focused","2013-03-25","day","2013.0","3.0","25.0","60.0","127.25","81.0","801.33","49.0","1590.15","190.0","791.9","60.0","127.25","82.0","925.0","20.0","222.0"
